"Location Client Service(Automatic, Do not Edit)",Location,Client,Service,RT,OT,DT,Billing,ID,Email
1190 Pierce Bronx Greenway ,1190 Pierce Bronx,Greenway,,,,,,,
1227 Broadway Flintlock Construction SSM,1227 Broadway,Flintlock Construction,SSM,135,202.5,270,Rate,1691,
125 Barclay  Hunter Roberts FSM,125 Barclay ,Hunter Roberts,FSM,60,90,120,Rate,1697,"APinvoicesny@hrcg.com, Jsilverstein@hrcg.com"
125 Barclay  Hunter Roberts SSM,125 Barclay ,Hunter Roberts,SSM,110,165,220,Rate,1697,"APinvoicesny@hrcg.com, Jsilverstein@hrcg.com"
126 W 126th St L&M SSM,126 W 126th St,L&M,SSM,115,165,230,Rate,1421,Lm-invoices@lmdevpartners.com
130 Williams St Gilbane SSM,130 Williams St,Gilbane,SSM,135,135,135,Rate,278,
135 William St Manhattan Gilbane QSP,135 William St Manhattan,Gilbane,QSP,135,202.5,270,Rate,1702,
1366 East New York Bruno Frustacil Super,1366 East New York,Bruno Frustacil,Super,175,175,175,Rate,1732,
14 Horatio St Century Management Services QSP,14 Horatio St,Century Management Services,QSP,2000,,,Flat,,
1401 Inwood Avenue Gilbane QSP,1401 Inwood Avenue,Gilbane,QSP,65,97.5,130,Rate,1530,
141 Willoughby St Gilbane FSM,141 Willoughby St,Gilbane,FSM,70,105,140,Rate,1647,
141 Willoughby St Gilbane SSM,141 Willoughby St,Gilbane,SSM,120,180,240,Rate,1647,
15 Penn Turner SSM,15 Penn,Turner,SSM,115,172.5,230,Rate,1863,soranci@tcco.com
1510 Broadway rcRussel Super,1510 Broadway,rcRussel,Super,115,172.5,230,Rate,1706,
156-20 Riverside Drive. M Millenium Restoration  QSP,156-20 Riverside Drive. M,Millenium Restoration ,QSP,60,90,120,Rate,1011,
157 Chambers St KNS QSP,157 Chambers St,KNS,QSP,1400,,,Flat,,
166 E 96th st Millenium Restoration QSP,166 E 96th st,Millenium Restoration,QSP,60,90,120,Rate,1751,"admin@milleniumrestoration.com, marina@milleniumrestoration.com"
19 Debevoise Ave Broadway Builders Laborer,19 Debevoise Ave,Broadway Builders,Laborer,34,51,68,Rate,1796,jmeli@broadway.builders
195 Bowery  Canido Basonas  QSP,195 Bowery ,Canido Basonas ,QSP,$65.00,$97.50,$130.00,Rate,1648,
2 Penn Plaza Skanska SSM,2 Penn Plaza,Skanska,SSM,118,177,236,Rate,1449,"scipriano@tcco.com, kfreire@tcco.com"
2 Penn Plaza Turner FSM,2 Penn Plaza,Turner,FSM,62.5,78.25,125,Rate,1448,"scipriano@tcco.com, kfreire@tcco.com"
2 Penn Plaza Turner SSM,2 Penn Plaza,Turner,SSM,118,147.5,236,Rate,1448,"scipriano@tcco.com, kfreire@tcco.com"
2033 5th Ave L&M SSM,2033 5th Ave,L&M,SSM,115,172.5,230,Rate,1695,"jelkin@lmdevpartners.com, LM-INVOICES@LMDEVPARTNERS.COM, jcampa@lmdp.com"
212 W 72nd ST Sam Olsen  ,212 W 72nd ST,Sam Olsen ,,0,0,0,Flat,,
22 West 32nd St Bulado Construction QSP,22 West 32nd St,Bulado Construction,QSP,$0.00,$0.00,$0.00,Flat,,
221 Port Richmond Staten Island Broadway Builders Super,221 Port Richmond Staten Island,Broadway Builders,Super,170,,,Rate,1529,
245 E 93rd St KNS QSP,245 E 93rd St,KNS,QSP,1400,,,Flat,,
255 W85th St.   Manhattan Canido Basonas  QSP,255 W85th St.   Manhattan,Canido Basonas ,QSP,,,,,,
26 Beaver St Simple Design Studio QSP,26 Beaver St,Simple Design Studio,QSP,2000,,,Flat,,
2601 Ocean Parkway Component Assembly FSM,2601 Ocean Parkway,Component Assembly,FSM,78,117,156,Rate,1158,
2601 Ocean Parkway Component Assembly SSM,2601 Ocean Parkway,Component Assembly,SSM,117,175.5,234,Rate,1158,
"265 Logan St., Bk (Laborers) Broadway Builders Laborer","265 Logan St., Bk (Laborers)",Broadway Builders,Laborer,$41.00,$41.00,$41.00,Rate,1744,"mbulzomi@broadway.builders, ang@broadway.builders"
273 Snediker Ave.  BK Monadnock  Super,273 Snediker Ave.  BK,Monadnock ,Super,1812.5,,,Flat,,
282 Hinsdalew St.  BK Monadnock  Super,282 Hinsdalew St.  BK,Monadnock ,Super,1812.5,,,Flat,,
2880 Jerome AVE  Bruno Frustacil SSM,2880 Jerome AVE ,Bruno Frustacil,SSM,$114.00,$171.00,$228.00,Rate,1726,"apayable@bfrustaci.com, dmehta@bfrustaci.com"
"2940 Ocean Pkwy, Bk Millenium Restoration  QSP","2940 Ocean Pkwy, Bk",Millenium Restoration ,QSP,1300,,,Flat,,"admin@milleniumrestoration.com, marina@milleniumrestoration.com"
2nd ST Lettire SSM,2nd ST,Lettire,SSM,0,0,0,Flat,933,
300 E 59th St  UAG SSM,300 E 59th St ,UAG,SSM,106.4,159.6,212.8,Rate,1860,"pskaliarinis@uag.nyc, dalbert@uag.nyc, snezili@uag.nyc, sfalino@uag.nyc, mmoait@uag.nyc"
304 E 65th st Canido Basonas  QSP,304 E 65th st,Canido Basonas ,QSP,0,0,0,Flat,,
31 3rd St BK AR Construction Super,31 3rd St BK,AR Construction,Super,112.5,168.75,225,Rate,1717,
33 Riverside Drive Skyline Restoration QSP,33 Riverside Drive,Skyline Restoration,QSP,$0.00,$0.00,$0.00,Flat,,"lsvenningsen@orsidny.com, orsidinvoice@avidbill.com"
33 Riverside Drive Tiffani QSP,33 Riverside Drive,Tiffani,QSP,"$2,000.00",,,Flat,,"lsvenningsen@orsidny.com, orsidinvoice@avidbill.com"
353 Ford St Gilbane QSP,353 Ford St,Gilbane,QSP,65,65,65,Rate,1690,
400 W 59 th ST aka 1 Columbus Circle KNS QSP,400 W 59 th ST aka 1 Columbus Circle,KNS,QSP,1400,,,Flat,,
401 W 34st St  2 MW Turner QSP,401 W 34st St  2 MW,Turner,QSP,65,97.5,130,Rate,1809,jgriffin@tcco.com
401 W 34st St  2 MW Turner SSM,401 W 34st St  2 MW,Turner,SSM,108,162,216,Rate,,
410 Beach 169th St Kiewit QSP,410 Beach 169th St,Kiewit,QSP,$81.00,$121.50,$121.50,Rate,1742,easterncontracts@tbupload.com
42 Trinity Place Gilbane FSM,42 Trinity Place,Gilbane,FSM,70,105,140,Rate,304,APinvoicingNYRO@gilbaneco.com
42 Trinity Place Gilbane SSM,42 Trinity Place,Gilbane,SSM,125,187.5,250,Rate,304,APinvoicingNYRO@gilbaneco.com
424 Albee Square Gilbane SSM,424 Albee Square,Gilbane,SSM,120,180,240,Rate,1646,
"428 W 20th St, NYC Lepore Construction Super","428 W 20th St, NYC",Lepore Construction,Super,$87.50,$87.50,$87.50,Rate,1734,
43-40 Northern Blvd Major World Gilbane Super,43-40 Northern Blvd Major World,Gilbane,Super,2750,,,Flat,,
43-60 Northern Blvd Major World Gilbane Super,43-60 Northern Blvd Major World,Gilbane,Super,0,0,0,Flat,,
524 East 74th ST Hudson Meridian Laborer,524 East 74th ST,Hudson Meridian,Laborer,85,127.5,170,Rate,1832,
524 East 74th ST Hudson Meridian SSM,524 East 74th ST,Hudson Meridian,SSM,110,165,220,Rate,1832,
654 Madison Avenue Shawmut Fire Guard,654 Madison Avenue,Shawmut,Fire Guard,48,72,96,Rate,1792,
654 Madison Avenue Shawmut SSM,654 Madison Avenue,Shawmut,SSM,110,165,220,Rate,1792,
66-36 Yellowstone Blvd Canido Basonas  QSP,66-36 Yellowstone Blvd,Canido Basonas ,QSP,$0.00,$0.00,$0.00,Flat,,basonas@aol.com
"660 5th Avenue
**OCIP Project** Turner FSM","660 5th Avenue
**OCIP Project**",Turner,FSM,70,105,140,Rate,1400,
"660 5th Avenue
**OCIP Project** Turner SSM","660 5th Avenue
**OCIP Project**",Turner,SSM,115,172.5,230,Rate,1400,
67 Vestry Street UAG FSM,67 Vestry Street,UAG,FSM,116,116,116,Rate,1224,bjohnson@uag.nyc
67 Vestry Street UAG SSC,67 Vestry Street,UAG,SSC,116,116,116,Rate,1224,bjohnson@uag.nyc
67 Vestry Street UAG SSM,67 Vestry Street,UAG,SSM,116,116,116,Rate,1224,bjohnson@uag.nyc
70 E 10th St Canido Basonas  QSP,70 E 10th St,Canido Basonas ,QSP,70,105,140,Rate,1493,
"730 5th Avenue
**OCIP Project** Gilbane FSM","730 5th Avenue
**OCIP Project**",Gilbane,FSM,70,105,140,Rate,336,
"730 5th Avenue
**OCIP Project** Gilbane SSM","730 5th Avenue
**OCIP Project**",Gilbane,SSM,133,199.5,266,Rate,336,
735 Lincoln Avenue.  Bk Millenium Restoration  QSP,735 Lincoln Avenue.  Bk,Millenium Restoration ,QSP,$65.00,$97.50,$130.00,Rate,1538,"admin@milleniumrestoration.com, marina@milleniumrestoration.com"
"745 E 141st St, BX Yonkers Contracting QSP","745 E 141st St, BX",Yonkers Contracting,QSP,125,187.5,250,Rate,1716,Donnelly@yonkerscontractingco.com
"745 E 141st St, BX Yonkers Contracting SSM","745 E 141st St, BX",Yonkers Contracting,SSM,130,195,260,Rate,1716,Donnelly@yonkerscontractingco.com
"745 E 141st St, BX Yonkers Contracting Super","745 E 141st St, BX",Yonkers Contracting,Super,125,187.5,250,Rate,1716,Donnelly@yonkerscontractingco.com
765 Lincoln Avenue.  Bklyn Millenium Restoration  QSP,765 Lincoln Avenue.  Bklyn,Millenium Restoration ,QSP,65,97.5,130,Rate,1537,"admin@milleniumrestoration.com, marina@milleniumrestoration.com"
79-04 Seaview Ave Bklyn  ,79-04 Seaview Ave Bklyn,,,,,,,,
96-02 57th Ave Millenium Restoration QSP,96-02 57th Ave,Millenium Restoration,QSP,0,0,0,Flat,,
96-04 57th Ave Millenium Restoration QSP,96-04 57th Ave,Millenium Restoration,QSP,0,0,0,Flat,,
96-08  57th Ave Millenium Restoration  QSP,96-08  57th Ave,Millenium Restoration ,QSP,60,90,120,Rate,1401,
96-10 57th Ave Millenium Restoration  QSP,96-10 57th Ave,Millenium Restoration ,QSP,60,90,120,Rate,1402,
97-20 57th ave Millenium Restoration  QSP,97-20 57th ave,Millenium Restoration ,QSP,1700,,,Flat,,
97-22 57th ave Millenium Restoration  QSP,97-22 57th ave,Millenium Restoration ,QSP,1700,,,Flat,,
975 Nostrand Ave Broadway Builders Laborer,975 Nostrand Ave,Broadway Builders,Laborer,34,51,68,Rate,1797,"dsikopoulos@broadway.builders, mwilkins@broadway.builders"
99 Park Ave Structural QSP,99 Park Ave,Structural,QSP,65,97.5,130,Rate,1707,sahar@ctsiweb.com
Above All Storefront AASF QSP,Above All Storefront,AASF,QSP,125,,,Flat,,nancy@aboveallstorefronts.com
AM Glass AM Glass QSP,AM Glass,AM Glass,QSP,1,2,3,Flat,,"mmagner@am4glass.com, tmaunsell@am4glass.com, dsimanska@am4glass.com"
College Point  28-10 Whitestone Expressway Hunter Roberts CSM,College Point  28-10 Whitestone Expressway,Hunter Roberts,CSM,$102.00,$153.00,$153.00,Rate,1746,
Coney Island Hospital 2601 Ocean Parkway Cardoza Plumbing Co. ,Coney Island Hospital 2601 Ocean Parkway,Cardoza Plumbing Co.,,,,,,1158,
Foo Building Foo Corp Super,Foo Building,Foo Corp,Super,1,2,3,Rate,,
Henick Lane Henick QSP,Henick Lane,Henick,QSP,7600,,,Flat,,AP@henick-lane.com
JFK Airport DELTA TURNER Turner FSM,JFK Airport DELTA TURNER,Turner,FSM,74,111,148,Rate,1631,"tbrosnan@tcco.com, djones@mckissack.com, jpaciullo@mckissack.com"
JFK Airport DELTA TURNER Turner SSM,JFK Airport DELTA TURNER,Turner,SSM,122,183,244,Rate,1631,"tbrosnan@tcco.com, djones@mckissack.com, jpaciullo@mckissack.com"
LI Post office  QSP,LI Post office,,QSP,,,,,,
Light House Project LI  ,Light House Project LI,,,,,,,,
MTA Job Bronx On Top QSP,MTA Job Bronx,On Top,QSP,80,80,80,Rate,1397,bmindley@ontoprenovation.com
NorthPort VA Veterans Contracting CHST,NorthPort VA,Veterans Contracting,CHST,250,,,Rate,,"gcm@veteransgroup.biz, justin@veteransgroup.biz, menotti@coralcapitalsolutions.com"
Queens Dismantle & Swing Space PAL Environmental SSM,Queens Dismantle & Swing Space,PAL Environmental,SSM,110,165,220,Rate,1818,"rsingley@palcorp.com, tragusa@palcorp.com"
Queens Garage 80-25 126th St Hunter Roberts QSP,Queens Garage 80-25 126th St,Hunter Roberts,QSP,70,105,,Rate,1494,
Queens Garage 80-25 126th St Hunter Roberts SSM,Queens Garage 80-25 126th St,Hunter Roberts,SSM,100,150,200,Rate,1494,
Shawmut 150 52nd St Shawmut Super,Shawmut 150 52nd St,Shawmut,Super,250,,,,1427,
Umbrella 710 Metro  Super,Umbrella 710 Metro,,Super,2500,,,Flat,,"APinvoicingNYRO@gilbaneco.com, EAllanson@gilbaneco.com"
